_id,app_name,logo,subscription_level,website,support_email,release_date,address.houseNo,address.street,address.city,address.zipcode,address.country
671aba1dfc13ae6f5122d21d,Opela,http://dummyimage.com/239x100.png/dddddd/000000,MONTHLY,instagram.com,tspyer0@newsvine.com,2024-01-04T05:38:24Z,285,Twin Pines,Santa Lucía,,Honduras
671aba1dfc13ae6f5122d21e,Prodder,http://dummyimage.com/179x100.png/dddddd/000000,FREE,nih.gov,cpitkin1@merriam-webster.com,2024-08-18T20:33:32Z,159,Carey,Fontanka,,Ukraine
671aba1dfc13ae6f5122d21f,Andalax,http://dummyimage.com/210x100.png/ff4444/ffffff,YEARLY,fastcompany.com,gforesight2@51.la,2024-05-25T13:48:43Z,257,Forster,Manicahan,6503,Philippines
671aba1dfc13ae6f5122d220,Quo Lux,http://dummyimage.com/132x100.png/cc0000/ffffff,YEARLY,fema.gov,hspridgeon3@mediafire.com,2023-09-05T12:25:59Z,280,Muir,Zwedru,,Liberia
671aba1dfc13ae6f5122d221,Fintone,http://dummyimage.com/142x100.png/5fa2dd/ffffff,MONTHLY,biblegateway.com,hwollaston4@google.com.hk,2023-10-14T11:25:35Z,442,Cottonwood,Eusébio,61760-000,Brazil
671aba1dfc13ae6f5122d222,Quo Lux,http://dummyimage.com/137x100.png/ff4444/ffffff,YEARLY,miibeian.gov.cn,bcausier5@cyberchimps.com,2024-04-27T22:35:56Z,90,Hazelcrest,Yangfang,,China
671aba1dfc13ae6f5122d223,Toughjoyfax,http://dummyimage.com/127x100.png/cc0000/ffffff,YEARLY,gizmodo.com,sbellis6@tiny.cc,2024-01-27T22:51:55Z,56,Meadow Valley,Amaraji,55515-000,Brazil
671aba1dfc13ae6f5122d224,Namfix,http://dummyimage.com/108x100.png/dddddd/000000,MONTHLY,hatena.ne.jp,waggott7@usda.gov,2023-12-19T20:52:43Z,423,Dawn,Quintas,3810-833,Portugal
671aba1dfc13ae6f5122d225,Redhold,http://dummyimage.com/126x100.png/5fa2dd/ffffff,YEARLY,theguardian.com,gleetham8@bing.com,2024-04-11T11:11:29Z,55,Mcbride,Lengkong,,Indonesia
671aba1dfc13ae6f5122d226,Konklab,http://dummyimage.com/105x100.png/cc0000/ffffff,FREE,phoca.cz,fmaceveley9@utexas.edu,2023-09-27T20:27:12Z,400,Basil,Vila Verde,3025-403,Portugal
671aba1dfc13ae6f5122d227,Hatity,http://dummyimage.com/109x100.png/5fa2dd/ffffff,MONTHLY,state.gov,lfehnera@netscape.com,2024-05-02T00:37:57Z,480,Graceland,Gordeyevka,243650,Russia
671aba1dfc13ae6f5122d228,Tampflex,http://dummyimage.com/158x100.png/dddddd/000000,FREE,squarespace.com,kbenediteb@artisteer.com,2024-09-22T18:04:07Z,300,Anhalt,Kultuk,665911,Russia
671aba1dfc13ae6f5122d229,Daltfresh,http://dummyimage.com/138x100.png/ff4444/ffffff,YEARLY,github.io,ttornc@storify.com,2023-10-15T19:15:04Z,475,Autumn Leaf,Mahābād,,Iran
671aba1dfc13ae6f5122d22a,Konklab,http://dummyimage.com/224x100.png/cc0000/ffffff,MONTHLY,wired.com,abarnwelld@springer.com,2024-08-16T13:06:08Z,428,Arkansas,Kombolcha,,Ethiopia
671aba1dfc13ae6f5122d22b,Biodex,http://dummyimage.com/157x100.png/dddddd/000000,YEARLY,hc360.com,bcoeye@google.com,2024-06-24T11:30:02Z,391,Towne,Çepan,,Albania
671aba1dfc13ae6f5122d22c,It,http://dummyimage.com/221x100.png/cc0000/ffffff,FREE,google.com.hk,asuffieldf@pcworld.com,2024-07-15T16:28:11Z,133,5th,Duraznopampa,,Peru
671aba1dfc13ae6f5122d22d,Bamity,http://dummyimage.com/229x100.png/ff4444/ffffff,FREE,cdbaby.com,hroseboroughg@nifty.com,2024-04-09T13:34:36Z,327,Monument,Shirgjan,,Albania
671aba1dfc13ae6f5122d22e,Zamit,http://dummyimage.com/137x100.png/5fa2dd/ffffff,FREE,va.gov,jnerneyh@shinystat.com,2023-12-03T13:57:59Z,395,Old Gate,Karanganyar,,Indonesia
671aba1dfc13ae6f5122d22f,Otcom,http://dummyimage.com/104x100.png/ff4444/ffffff,YEARLY,acquirethisname.com,alyardi@wikimedia.org,2024-06-30T14:42:17Z,281,Crownhardt,Uzdin,,Serbia
671aba1dfc13ae6f5122d230,Viva,http://dummyimage.com/184x100.png/ff4444/ffffff,FREE,forbes.com,vhutchinsonj@nhs.uk,2024-10-22T07:39:41Z,498,Commercial,Santa Valha,5430-236,Portugal
671aba1dfc13ae6f5122d231,Vagram,http://dummyimage.com/150x100.png/dddddd/000000,MONTHLY,gnu.org,vbahdek@noaa.gov,2023-11-20T05:17:57Z,204,Fairview,Abuko,,Gambia
671aba1dfc13ae6f5122d232,Alpha,http://dummyimage.com/190x100.png/cc0000/ffffff,FREE,marriott.com,rscarcel@ft.com,2023-10-02T05:09:38Z,162,Eagle Crest,Xinxu,,China
671aba1dfc13ae6f5122d233,Y-Solowarm,http://dummyimage.com/235x100.png/ff4444/ffffff,MONTHLY,hhs.gov,wrosenboimm@vistaprint.com,2024-04-05T10:48:19Z,356,Quincy,Jugezhuang,,China
671aba1dfc13ae6f5122d234,Regrant,http://dummyimage.com/147x100.png/cc0000/ffffff,FREE,ameblo.jp,lpepperdn@github.com,2024-10-05T05:29:58Z,15,Walton,Bình Thủy,,Vietnam
671aba1dfc13ae6f5122d235,Y-Solowarm,http://dummyimage.com/226x100.png/dddddd/000000,MONTHLY,nationalgeographic.com,tbaddoeo@theatlantic.com,2023-11-21T02:14:21Z,194,Wayridge,Nageswari,4520,Bangladesh
671aba1dfc13ae6f5122d236,Span,http://dummyimage.com/156x100.png/dddddd/000000,FREE,shinystat.com,pfilipiakp@csmonitor.com,2023-12-07T02:14:05Z,342,Hoffman,Hoorn,1624,Netherlands
671aba1dfc13ae6f5122d237,Subin,http://dummyimage.com/165x100.png/dddddd/000000,MONTHLY,1und1.de,fpoutonq@people.com.cn,2024-07-21T11:56:56Z,149,Sutteridge,Zhusha,,China
671aba1dfc13ae6f5122d238,Prodder,http://dummyimage.com/185x100.png/5fa2dd/ffffff,FREE,meetup.com,mpedleyr@google.com.hk,2023-09-26T11:14:36Z,284,Hagan,Krajan Gajihan,,Indonesia
671aba1dfc13ae6f5122d239,Matsoft,http://dummyimage.com/231x100.png/dddddd/000000,FREE,newsvine.com,bpitkaithlys@washingtonpost.com,2024-03-21T12:28:57Z,481,Eggendart,Leuwidamar,,Indonesia
671aba1dfc13ae6f5122d23a,Konklab,http://dummyimage.com/199x100.png/dddddd/000000,YEARLY,examiner.com,kdunyt@berkeley.edu,2024-05-26T07:15:59Z,82,Rieder,Rumelange,L-3755,Luxembourg
671aba1dfc13ae6f5122d23b,Aerified,http://dummyimage.com/173x100.png/cc0000/ffffff,MONTHLY,homestead.com,rmichelottiu@bloglovin.com,2024-01-19T08:06:43Z,500,Mcbride,Zhayang,,China
671aba1dfc13ae6f5122d23c,Konklab,http://dummyimage.com/190x100.png/ff4444/ffffff,MONTHLY,toplist.cz,gpiggottv@paypal.com,2024-08-28T04:11:01Z,379,Gale,Parramos,04014,Guatemala
671aba1dfc13ae6f5122d23d,Bitchip,http://dummyimage.com/131x100.png/ff4444/ffffff,FREE,addthis.com,dwillcottw@harvard.edu,2023-10-16T04:18:25Z,383,Mallory,Rautalampi,77700,Finland
671aba1dfc13ae6f5122d23e,Andalax,http://dummyimage.com/224x100.png/cc0000/ffffff,MONTHLY,un.org,hlittlejohnx@usgs.gov,2024-04-08T19:39:46Z,56,Butternut,Goúvai,,Greece
671aba1dfc13ae6f5122d23f,Latlux,http://dummyimage.com/165x100.png/dddddd/000000,YEARLY,sitemeter.com,jfeaksy@bloglovin.com,2024-01-09T18:22:08Z,61,Lakewood,Moro,67130,Pakistan
671aba1dfc13ae6f5122d240,Transcof,http://dummyimage.com/248x100.png/5fa2dd/ffffff,MONTHLY,gizmodo.com,aferrinoz@house.gov,2024-02-10T12:17:24Z,45,Ohio,Si Sa Ket,33140,Thailand
671aba1dfc13ae6f5122d241,Pannier,http://dummyimage.com/250x100.png/5fa2dd/ffffff,MONTHLY,mayoclinic.com,gsumner10@tripod.com,2024-02-03T05:53:05Z,384,Clemons,Wahawaha,,Indonesia
671aba1dfc13ae6f5122d242,Voltsillam,http://dummyimage.com/129x100.png/dddddd/000000,YEARLY,pbs.org,fendrici11@issuu.com,2023-12-24T02:53:35Z,30,Buhler,Tuatuka,,Indonesia
671aba1dfc13ae6f5122d243,Kanlam,http://dummyimage.com/212x100.png/dddddd/000000,YEARLY,tiny.cc,mhowles12@google.de,2023-11-11T02:56:11Z,381,Loeprich,Kcynia,89-240,Poland
